,Quarterly Dates,Net Income,Net Sales,Operating Income,Profit,Year,Quarter,Daily Dates,Open,High,Low,Close,Volume
440,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-26,220.0,220.94,218.83,219.89,19088312
441,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-25,218.55,221.5,217.1402,221.03,22481006
442,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-24,221.055,222.49,217.19,217.68,31434367
443,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-23,218.95,219.84,217.65,218.72,19419648
444,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-20,221.38,222.56,217.473,217.73,57977094
445,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-19,222.01,223.76,220.37,220.96,22187876
446,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-18,221.06,222.85,219.44,222.77,25643093
447,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-17,219.96,220.82,219.12,220.7,18386468
448,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-16,217.73,220.13,217.56,219.9,21158141
449,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-13,220.0,220.79,217.02,218.75,39763296
450,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-12,224.8,226.42,222.86,223.085,32226669
451,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-11,218.07,223.71,217.73,223.59,44289646
452,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-10,213.86,216.78,211.71,216.7,31777931
453,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-09,214.84,216.44,211.07,214.17,27309401
454,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-06,214.05,214.42,212.51,213.26,19362294
455,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-05,212.0,213.97,211.51,213.28,23946984
456,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-04,208.39,209.48,207.32,209.19,19216820
457,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-03,206.43,206.98,204.22,205.7,20059574
458,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-30,210.16,210.45,207.2,208.74,21162561
459,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-29,208.5,209.32,206.655,209.01,21007652
460,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-28,204.1,205.72,203.32,205.53,15957632
461,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-27,207.86,208.55,203.53,204.16,25897344
462,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-26,205.86,207.19,205.0573,206.49,26066130
463,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-23,209.43,212.051,201.0,202.64,46882843
464,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-22,213.19,214.435,210.75,212.46,22267819
465,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-21,212.99,213.65,211.6032,212.64,21564747
466,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-20,210.88,213.35,210.32,210.36,26919529
467,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-19,210.62,212.7307,210.025,210.35,24431915
468,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-16,204.28,207.16,203.84,206.5,28813624
469,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-15,203.46,205.14,199.67,201.74,27883363
470,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-14,203.16,206.44,202.5869,202.75,36547443
471,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-13,201.02,212.14,200.83,208.97,47539786
472,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-12,199.62,202.0516,199.15,200.48,22481889
473,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-09,201.3,202.76,199.29,200.99,24619746
474,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-08,200.2,203.53,199.39,203.43,27009523
475,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-07,195.41,199.56,193.82,199.04,33364400
476,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-06,196.31,198.067,194.04,197.0,35824787
477,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-05,197.99,198.649,192.58,193.34,52392969
478,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-02,205.53,206.43,201.63,204.02,40862122
479,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-08-01,213.9,218.03,206.7435,208.43,54017922
480,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-31,216.42,221.37,211.3,213.04,69281361
481,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-30,208.76,210.16,207.31,208.78,33935718
482,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-29,208.46,210.64,208.44,209.68,21673389
483,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-26,207.48,209.73,207.14,207.74,17618874
484,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-25,208.89,209.24,206.73,207.02,13909535
485,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-24,207.67,209.15,207.17,208.67,14991567
486,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-23,208.46,208.91,207.29,208.84,18355210
487,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-22,203.65,207.23,203.61,207.22,22277932
488,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-19,205.79,206.5,202.36,202.59,20929307
489,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-18,204.0,205.88,203.7,205.66,18582161
490,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-17,204.05,205.0915,203.27,203.35,14107450
491,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-16,204.59,206.11,203.5,204.5,16866816
492,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-15,204.09,205.87,204.0,205.21,16947420
493,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-12,202.45,204.0,202.2,203.3,17595212
494,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-11,203.31,204.39,201.71,201.75,20191842
495,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-10,201.85,203.73,201.56,203.23,17897138
496,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-09,199.2,201.51,198.81,201.24,20578015
497,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-08,200.81,201.4,198.41,200.02,25338628
498,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-05,203.35,205.08,202.9,204.23,17265518
499,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-03,203.28,204.44,202.6901,204.41,11362045
500,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-02,201.41,203.1323,201.36,202.73,16935217
501,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-07-01,203.17,204.49,200.65,201.55,27316739
502,,,,,,2020,1,2020-01-08,297.16,304.4399,297.156,303.19,32669876
503,,,,,,2020,1,2020-01-07,299.84,300.9,297.48,298.39,27877655
504,,,,,,2020,1,2020-01-06,293.79,299.96,292.75,299.8,29644644
505,,,,,,2020,1,2020-01-03,297.15,300.58,296.5,297.43,36633878
506,,,,,,2020,1,2020-01-02,296.24,300.6,295.19,300.35,33911864
507,,,,,,2019,4,2019-12-31,289.93,293.68,289.52,293.65,25247625
508,,,,,,2019,4,2019-12-30,289.46,292.69,285.22,291.52,36059614
509,,,,,,2019,4,2019-12-27,291.12,293.97,288.12,289.8,36592936
510,,,,,,2019,4,2019-12-26,284.82,289.98,284.7,289.91,23334004
511,,,,,,2019,4,2019-12-24,284.69,284.89,282.9197,284.27,12119714
512,,,,,,2019,4,2019-12-23,280.53,284.25,280.3735,284.0,24677883
513,,,,,,2019,4,2019-12-20,282.23,282.65,278.56,279.44,69032743
514,,,,,,2019,4,2019-12-19,279.5,281.18,278.95,280.02,24626947
515,,,,,,2019,4,2019-12-18,279.8,281.9,279.12,279.74,29024687
516,,,,,,2019,4,2019-12-17,279.57,281.77,278.8,280.41,28575798
517,,,,,,2019,4,2019-12-16,277.0,280.79,276.98,279.86,32081105
518,,,,,,2019,4,2019-12-13,271.46,275.3,270.93,275.15,33432806
519,,,,,,2019,4,2019-12-12,267.78,272.5599,267.321,271.46,34437042
520,,,,,,2019,4,2019-12-11,268.81,271.1,268.5,270.77,19723391
521,,,,,,2019,4,2019-12-10,268.6,270.07,265.86,268.48,22632383
522,,,,,,2019,4,2019-12-09,270.0,270.8,264.91,266.92,32182645
523,,,,,,2019,4,2019-12-06,267.48,271.0,267.3,270.71,26547493
524,,,,,,2019,4,2019-12-05,263.79,265.89,262.73,265.58,18661343
525,,,,,,2019,4,2019-12-04,261.07,263.31,260.68,261.74,16810388
526,,,,,,2019,4,2019-12-03,258.31,259.53,256.29,259.45,29377268
527,,,,,,2019,4,2019-12-02,267.27,268.25,263.45,264.16,23693550
528,,,,,,2019,4,2019-11-29,266.6,268.0,265.9,267.25,11654363
529,,,,,,2019,4,2019-11-27,265.58,267.98,265.31,267.84,16386122
530,,,,,,2019,4,2019-11-26,266.94,267.16,262.5,264.29,26334882
531,,,,,,2019,4,2019-11-25,262.71,266.44,262.52,266.37,21029517
532,,,,,,2019,4,2019-11-22,262.59,263.18,260.84,261.78,16331263
533,,,,,,2019,4,2019-11-21,263.69,264.005,261.18,262.01,30348778
534,,,,,,2019,4,2019-11-20,265.54,266.083,260.4,263.19,26609919
535,,,,,,2019,4,2019-11-19,267.9,268.0,265.3926,266.29,19069597
536,,,,,,2019,4,2019-11-18,265.8,267.43,264.23,267.1,21700897
537,,,,,,2019,4,2019-11-15,263.68,265.78,263.01,265.76,25093666
538,,,,,,2019,4,2019-11-14,263.75,264.88,262.1,262.64,22395556
539,,,,,,2019,4,2019-11-13,261.13,264.78,261.07,264.47,25817593
540,,,,,,2019,4,2019-11-12,261.55,262.79,260.92,261.96,21847226
541,,,,,,2019,4,2019-11-11,258.3,262.47,258.28,262.2,20507459
542,,,,,,2019,4,2019-11-08,258.69,260.44,256.85,260.14,17520495
543,,,,,,2019,4,2019-11-07,258.74,260.35,258.11,259.43,23735083
544,,,,,,2019,4,2019-11-06,256.77,257.49,255.365,257.24,18966124
545,,,,,,2019,4,2019-11-05,257.05,258.19,256.32,257.13,19974427
